season,episode,character,line
S01,E01,Monica, There's nothing to tell! He's just some guy I work with!
S01,E01,Joey," C'mon, you're going out with the guy! There's gotta be something wrong with him!"
S01,E01,Chandler," All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?"
S01,E01,Phoebe," Wait, does he eat chalk?"
S01,E01,Phoebe," Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
S01,E01,Monica," Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
S01,E01,Chandler, Sounds like a date to me.
S01,E01,Chandler," Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
S01,E01,Chandler," Then I look down, and I realize there's a phone... there."
S01,E01,Joey, Instead of...?
S01,E01,Chandler, That's right.
S01,E01,Joey, Never had that dream.
S01,E01,Phoebe, No.
S01,E01,Chandler," All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
S01,E01,Monica, And they weren't looking at you before?!
S01,E01,Chandler," Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
S01,E01,Ross,  Hi.
S01,E01,Joey," This guy says hello, I wanna kill myself."
S01,E01,Monica," Are you okay, sweetie?"
S01,E01,Ross," I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
S01,E01,Chandler, Cookie?
S01,E01,Monica,  Carol moved her stuff out today.
S01,E01,Joey, Ohh.
S01,E01,Monica,  Let me get you some coffee.
S01,E01,Ross, Thanks.
S01,E01,Phoebe, Ooh! Oh! 
S01,E01,Ross," No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
S01,E01,Phoebe, Fine!  Be murky!
S01,E01,Ross," I'll be fine, alright? Really, everyone. I hope she'll be very happy."
S01,E01,Monica, No you don't.
S01,E01,Ross," No I don't, to hell with her, she left me!"
S01,E01,Joey, And you never knew she was a lesbian...
S01,E01,Ross," No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
S01,E01,Chandler, Sometimes I wish I was a lesbian...  Did I say that out loud?
S01,E01,Ross," I told mom and dad last night, they seemed to take it pretty well."
S01,E01,Monica," Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what?  A wrong number?"
S01,E01,Ross, Sorry.
S01,E01,Joey," Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
S01,E01,Joey," Strip joint! C'mon, you're single! Have some hormones!"
S01,E01,Ross," I don't want to be single, okay? I just... I just- I just wanna be married again!"
S01,E01,Chandler, And I just want a million dollars! 
S01,E01,Monica, Rachel?!
S01,E01,Rachel," Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
S01,E01,Monica,"  De-caff.  Okay, everybody, this is Rachel, another Lincoln High survivor.  This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
S01,E01,Rachel," Hi, sure!"
S01,E01,Ross, Hi.
S01,E01,Monica," So you wanna tell us now, or are we waiting for four wet bridesmaids?"
S01,E01,Rachel," Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'.  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
S01,E01,Monica, Who wasn't invited to the wedding.
S01,E01,Rachel," Ooh, I was kinda hoping that wouldn't be an issue... "
S01,E01,Monica," Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
S01,E01,Chandler,  Tuna or egg salad?  Decide!
S01,E01,Ross,  I'll have whatever Christine is having.
S01,E01,Rachel,"  Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"
S01,E01,Phoebe,"  If I let go of my hair, my head will fall off."
S01,E01,Chandler,"  Ooh, she should not be wearing those pants."
S01,E01,Joey, I say push her down the stairs.
S01,E01,Joey,"Phoebe, Ross, Chandler, and   Push her down the stairs! Push her down the stairs! Push her down the stairs!"
S01,E01,Rachel," C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
S01,E01,Ross, You can see where he'd have trouble.
S01,E01,Rachel," Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
S01,E01,Monica," Well, I guess we've established who's staying here with Monica..."
S01,E01,Rachel," Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
S01,E01,Monica," Just breathe, breathe.. that's it. Just try to think of nice calm things..."
S01,E01,Phoebe,"  Raindrops on roses and rabbits and kittens,  bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few..."
S01,E01,Rachel, I'm all better now.
S01,E01,Phoebe,  I helped!
S01,E01,Monica," Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing."
S01,E01,Joey,"  And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
S01,E01,Monica," Joey, stop hitting on her! It's her wedding day!"
S01,E01,Joey," What, like there's a rule or something?"
S01,E01,Chandler," Please don't do that again, it's a horrible sound."
S01,E01,Monica," Oh God, is it 6:30?  Buzz him in!"
S01,E01,Joey, Who's Paul?
S01,E01,Ross," Paul the Wine Guy, Paul?"
S01,E01,Monica, Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
S01,E01,Ross, He finally asked you out?
S01,E01,Monica, Yes!
S01,E01,Chandler," Ooh, this is a Dear Diary moment."
S01,E01,Monica," Rach, wait, I can cancel..."
S01,E01,Rachel," Please, no, go, that'd be fine!"
S01,E01,Monica,"  Are, are you okay? I mean, do you want me to stay?"
S01,E01,Ross,  That'd be good...
S01,E01,Monica,  Really?
S01,E01,Ross,"  No, go on! It's Paul the Wine Guy!"
S01,E01,Phoebe," What does that mean?   Does he sell it, drink it, or just complain a lot? "
S01,E01,Monica," Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
S01,E01,Chandler," I'm sorry, I didn't catch your name. Paul, was it?"
S01,E01,Monica," Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah..."
S01,E01,Ross, A wandering?
S01,E01,Monica," Change!  Okay, sit down.  Two seconds."
S01,E01,Phoebe," Ooh, I just pulled out four eyelashes. That can't be good."
S01,E01,Joey,"  Hey, Paul!"
S01,E01,Joey," Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
S01,E01,Monica,"  Shut up, Joey!"
S01,E01,Ross," So Rachel, what're you, uh... what're you up to tonight?"
S01,E01,Rachel," Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
S01,E01,Ross," Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your-  -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
S01,E01,Chandler,"  Yes, and we're very excited about it."
S01,E01,Rachel," Well actually thanks, but I think I'm just gonna hang out here tonight.  It's been kinda a long day."
S01,E01,Ross," Okay, sure."
S01,E01,Joey," Hey Pheebs, you wanna help?"
S01,E01,Phoebe," Oh, I wish I could, but I don't want to."
S01,E01,Phoebe,"  Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  La-la-la-la-la-  Thank you.  La-la-la-la...ohhh!"
S01,E01,Ross,"  I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
S01,E01,Joey, I'm thinking we've got a bookcase here.
S01,E01,Chandler, It's a beautiful thing.
S01,E01,Joey,  What's this?
S01,E01,Chandler, I would have to say that is an 'L'-shaped bracket.
S01,E01,Joey, Which goes where?
S01,E01,Chandler, I have no idea.
S01,E01,Joey, Done with the bookcase!
S01,E01,Chandler, All finished!
S01,E01,Ross,"  This was Carol's favorite beer. She always drank it out of the can, I should have known."
S01,E01,Joey," Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
S01,E01,Chandler," Yes, please don't spoil all this fun."
S01,E01,Joey," Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
S01,E01,Ross, You guys.
S01,E01,Chandler," Oh, God."
S01,E01,Joey, You got screwed.
S01,E01,Chandler, Oh my God!
S01,E01,Monica, Oh my God!
